product_id;product_name;product_year;product_segment;product_brand;product_strategy;product_category
1;Trek 820 - 2016;2016;gamme basse;Trek;low strategic;Mountain Bikes
2;Ritchey Timberwolf Frameset - 2016;2016;gamme moyenne;Ritchey;low strategic;Mountain Bikes
3;Surly Wednesday Frameset - 2016;2016;gamme moyenne;Surly;low strategic;Mountain Bikes
4;Trek Fuel EX 8 29 - 2016;2016;gamme haute;Trek;low strategic;Mountain Bikes
5;Heller Shagamaw Frame - 2016;2016;gamme moyenne;Heller;medium strategic;Mountain Bikes
6;Surly Ice Cream Truck Frameset - 2016;2016;gamme basse;Surly;low strategic;Mountain Bikes
7;Trek Slash 8 27.5 - 2016;2016;gamme haute;Trek;low strategic;Mountain Bikes
8;Trek Remedy 29 Carbon Frameset - 2016;2016;gamme moyenne;Trek;low strategic;Mountain Bikes
9;Trek Conduit+ - 2016;2016;gamme haute;Trek;low strategic;Electric Bikes
10;Surly Straggler - 2016;2016;gamme moyenne;Surly;low strategic;Cyclocross Bicycles
11;Surly Straggler 650b - 2016;2016;gamme moyenne;Surly;low strategic;Cyclocross Bicycles
12;Electra Townie Original 21D - 2016;2016;gamme moyenne;Electra;low strategic;Cruisers Bicycles
13;Electra Cruiser 1 (24-Inch) - 2016;2016;gamme basse;Electra;low strategic;Cruisers Bicycles
14;Electra Girl's Hawaii 1 (16-inch) - 2015/2016;2016;gamme basse;Electra;low strategic;Cruisers Bicycles
15;Electra Moto 1 - 2016;2016;gamme moyenne;Electra;low strategic;Cruisers Bicycles
16;Electra Townie Original 7D EQ - 2016;2016;gamme moyenne;Electra;low strategic;Cruisers Bicycles
17;Pure Cycles Vine 8-Speed - 2016;2016;gamme basse;Pure Cycles;medium strategic;Cruisers Bicycles
18;Pure Cycles Western 3-Speed - Women's - 2015/2016;2016;gamme basse;Pure Cycles;medium strategic;Cruisers Bicycles
19;Pure Cycles William 3-Speed - 2016;2016;gamme basse;Pure Cycles;medium strategic;Cruisers Bicycles
20;Electra Townie Original 7D EQ - Women's - 2016;2016;gamme moyenne;Electra;low strategic;Cruisers Bicycles
21;Electra Cruiser 1 (24-Inch) - 2016;2016;gamme basse;Electra;low strategic;Children Bicycles
22;Electra Girl's Hawaii 1 (16-inch) - 2015/2016;2016;gamme basse;Electra;low strategic;Children Bicycles
23;Electra Girl's Hawaii 1 (20-inch) - 2015/2016;2016;gamme basse;Electra;low strategic;Children Bicycles
24;Electra Townie Original 21D - 2016;2016;gamme moyenne;Electra;low strategic;Comfort Bicycles
25;Electra Townie Original 7D - 2015/2016;2016;gamme moyenne;Electra;low strategic;Comfort Bicycles
26;Electra Townie Original 7D EQ - 2016;2016;gamme moyenne;Electra;low strategic;Comfort Bicycles
27;Surly Big Dummy Frameset - 2017;2017;gamme moyenne;Surly;low strategic;Mountain Bikes
28;Surly Karate Monkey 27.5+ Frameset - 2017;2017;gamme haute;Surly;low strategic;Mountain Bikes
29;Trek X-Caliber 8 - 2017;2017;gamme moyenne;Trek;low strategic;Mountain Bikes
30;Surly Ice Cream Truck Frameset - 2017;2017;gamme moyenne;Surly;low strategic;Mountain Bikes
31;Surly Wednesday - 2017;2017;gamme moyenne;Surly;low strategic;Mountain Bikes
32;Trek Farley Alloy Frameset - 2017;2017;gamme basse;Trek;low strategic;Mountain Bikes
33;Surly Wednesday Frameset - 2017;2017;gamme basse;Surly;low strategic;Mountain Bikes
34;Trek Session DH 27.5 Carbon Frameset - 2017;2017;gamme basse;Trek;low strategic;Mountain Bikes
35;Sun Bicycles Spider 3i - 2017;2017;gamme moyenne;Sun Bicycles;extremly strategic;Mountain Bikes
