date_ref;period;IsProportional;store_id;target_volume;target_sales;avg_active_sales_person;nb_past_days,nb_remaining_days
01-01-2018;MTD;false;1;60;76000;3.0;1;30
01-01-2018;MTD;false;2;160;137000;1.0;1;30
01-01-2018;MTD;false;3;10;12000;2.0;1;30
01-01-2018;MTD;true;1;2;2452;3.0;1;30
01-01-2018;MTD;true;2;5;4419;1.0;1;30
01-01-2018;MTD;true;3;0;387;2.0;1;30
01-01-2018;QTD;false;1;60;76000;2.0;1;30
01-01-2018;QTD;false;2;160;137000;2.0;1;30
01-01-2018;QTD;false;3;10;12000;1.0;1;30
01-01-2018;QTD;true;1;2;2452;2.0;1;30
01-01-2018;QTD;true;2;5;4419;2.0;1;30
01-01-2018;QTD;true;3;0;387;1.0;1;30
01-01-2018;YTD;false;1;60;76000;2.0;1;30
01-01-2018;YTD;false;2;160;137000;2.0;1;30
01-01-2018;YTD;false;3;10;12000;1.0;1;30
01-01-2018;YTD;true;1;2;2452;2.0;1;30
01-01-2018;YTD;true;2;5;4419;2.0;1;30
01-01-2018;YTD;true;3;0;387;1.0;1;30
02-01-2018;MTD;false;1;60;76000;3.0;2;29
02-01-2018;MTD;false;2;160;137000;1.0;2;29
02-01-2018;MTD;false;3;10;12000;2.0;2;29
02-01-2018;MTD;true;1;4;4903;3.0;2;29
02-01-2018;MTD;true;2;10;8839;1.0;2;29
02-01-2018;MTD;true;3;1;774;2.0;2;29
02-01-2018;QTD;false;1;60;76000;2.0;2;29
02-01-2018;QTD;false;2;160;137000;2.0;2;29
02-01-2018;QTD;false;3;10;12000;1.0;2;29
02-01-2018;QTD;true;1;4;4903;2.0;2;29
02-01-2018;QTD;true;2;10;8839;2.0;2;29
02-01-2018;QTD;true;3;1;774;1.0;2;29
02-01-2018;YTD;false;1;60;76000;2.0;2;29
02-01-2018;YTD;false;2;160;137000;2.0;2;29
02-01-2018;YTD;false;3;10;12000;1.0;2;29
02-01-2018;YTD;true;1;4;4903;2.0;2;29
02-01-2018;YTD;true;2;10;8839;2.0;2;29
02-01-2018;YTD;true;3;1;774;1.0;2;29
03-01-2018;MTD;false;1;60;76000;3.0;3;28
03-01-2018;MTD;false;2;160;137000;1.0;3;28
03-01-2018;MTD;false;3;10;12000;2.0;3;28
03-01-2018;MTD;true;1;6;7355;3.0;3;28
03-01-2018;MTD;true;2;15;13258;1.0;3;28
03-01-2018;MTD;true;3;1;1161;2.0;3;28
03-01-2018;QTD;false;1;60;76000;2.0;3;28
03-01-2018;QTD;false;2;160;137000;2.0;3;28
03-01-2018;QTD;false;3;10;12000;1.0;3;28
03-01-2018;QTD;true;1;6;7355;2.0;3;28
03-01-2018;QTD;true;2;15;13258;2.0;3;28
03-01-2018;QTD;true;3;1;1161;1.0;3;28
03-01-2018;YTD;false;1;60;76000;2.0;3;28
03-01-2018;YTD;false;2;160;137000;2.0;3;28
03-01-2018;YTD;false;3;10;12000;1.0;3;28
03-01-2018;YTD;true;1;6;7355;2.0;3;28
03-01-2018;YTD;true;2;15;13258;2.0;3;28
03-01-2018;YTD;true;3;1;1161;1.0;3;28
04-01-2018;MTD;false;1;60;76000;3.0;4;27
04-01-2018;MTD;false;2;160;137000;1.0;4;27
04-01-2018;MTD;false;3;10;12000;2.0;4;27
04-01-2018;MTD;true;1;8;9806;3.0;4;27
04-01-2018;MTD;true;2;21;17677;1.0;4;27
04-01-2018;MTD;true;3;1;1548;2.0;4;27
04-01-2018;QTD;false;1;60;76000;2.0;4;27
04-01-2018;QTD;false;2;160;137000;2.0;4;27
04-01-2018;QTD;false;3;10;12000;1.0;4;27
04-01-2018;QTD;true;1;8;9806;2.0;4;27
04-01-2018;QTD;true;2;21;17677;2.0;4;27
04-01-2018;QTD;true;3;1;1548;1.0;4;27
04-01-2018;YTD;false;1;60;76000;2.0;4;27
04-01-2018;YTD;false;2;160;137000;2.0;4;27
04-01-2018;YTD;false;3;10;12000;1.0;4;27
04-01-2018;YTD;true;1;8;9806;2.0;4;27
04-01-2018;YTD;true;2;21;17677;2.0;4;27
04-01-2018;YTD;true;3;1;1548;1.0;4;27
05-01-2018;MTD;false;1;60;76000;3.0;5;26
05-01-2018;MTD;false;2;160;137000;1.0;5;26
05-01-2018;MTD;false;3;10;12000;2.0;5;26
05-01-2018;MTD;true;1;10;12258;3.0;5;26
05-01-2018;MTD;true;2;26;22097;1.0;5;26
05-01-2018;MTD;true;3;2;1935;2.0;5;26
05-01-2018;QTD;false;1;60;76000;2.0;5;26
05-01-2018;QTD;false;2;160;137000;2.0;5;26
05-01-2018;QTD;false;3;10;12000;1.0;5;26
05-01-2018;QTD;true;1;10;12258;2.0;5;26
05-01-2018;QTD;true;2;26;22097;2.0;5;26
05-01-2018;QTD;true;3;2;1935;1.0;5;26
05-01-2018;YTD;false;1;60;76000;2.0;5;26
05-01-2018;YTD;false;2;160;137000;2.0;5;26
05-01-2018;YTD;false;3;10;12000;1.0;5;26
05-01-2018;YTD;true;1;10;12258;2.0;5;26
05-01-2018;YTD;true;2;26;22097;2.0;5;26
05-01-2018;YTD;true;3;2;1935;1.0;5;26
06-01-2018;MTD;false;1;60;76000;3.0;6;25
06-01-2018;MTD;false;2;160;137000;1.0;6;25
06-01-2018;MTD;false;3;10;12000;2.0;6;25
06-01-2018;MTD;true;1;12;14710;3.0;6;25
06-01-2018;MTD;true;2;31;26516;1.0;6;25
06-01-2018;MTD;true;3;2;2323;2.0;6;25
06-01-2018;QTD;false;1;60;76000;2.0;6;25
06-01-2018;QTD;false;2;160;137000;2.0;6;25
06-01-2018;QTD;false;3;10;12000;1.0;6;25
06-01-2018;QTD;true;1;12;14710;2.0;6;25
06-01-2018;QTD;true;2;31;26516;2.0;6;25
06-01-2018;QTD;true;3;2;2323;1.0;6;25
06-01-2018;YTD;false;1;60;76000;2.0;6;25
06-01-2018;YTD;false;2;160;137000;2.0;6;25
06-01-2018;YTD;false;3;10;12000;1.0;6;25
06-01-2018;YTD;true;1;12;14710;2.0;6;25
06-01-2018;YTD;true;2;31;26516;2.0;6;25
06-01-2018;YTD;true;3;2;2323;1.0;6;25
07-01-2018;MTD;false;1;60;76000;3.0;7;24
07-01-2018;MTD;false;2;160;137000;1.0;7;24
07-01-2018;MTD;false;3;10;12000;2.0;7;24
07-01-2018;MTD;true;1;14;17161;3.0;7;24
07-01-2018;MTD;true;2;36;30935;1.0;7;24
07-01-2018;MTD;true;3;2;2710;2.0;7;24
