date_ref;period;store_id;nb_deliveries;avg_delivery_time;nb_late_deliveries
01-01-2018;MTD;1;1;2.0;0
01-01-2018;MTD;2;1;2.0;0
01-01-2018;QTD;1;1;2.0;0
01-01-2018;QTD;2;1;2.0;0
01-01-2018;YTD;1;1;2.0;0
01-01-2018;YTD;2;1;2.0;0
02-01-2018;MTD;1;1;2.0;0
02-01-2018;MTD;2;2;1.5;0
02-01-2018;QTD;1;1;2.0;0
02-01-2018;QTD;2;2;1.5;0
02-01-2018;YTD;1;1;2.0;0
02-01-2018;YTD;2;2;1.5;0
03-01-2018;MTD;1;2;2.0;1
03-01-2018;MTD;2;3;2.0;0
03-01-2018;QTD;1;2;2.0;1
03-01-2018;QTD;2;3;2.0;0
03-01-2018;YTD;1;2;2.0;1
03-01-2018;YTD;2;3;2.0;0
04-01-2018;MTD;1;2;2.0;1
04-01-2018;MTD;2;6;1.5;0
04-01-2018;QTD;1;2;2.0;1
04-01-2018;QTD;2;6;1.5;0
04-01-2018;YTD;1;2;2.0;1
04-01-2018;YTD;2;6;1.5;0
05-01-2018;MTD;1;3;2.3333333333333335;1
05-01-2018;MTD;2;8;1.5;0
05-01-2018;QTD;1;3;2.3333333333333335;1
05-01-2018;QTD;2;8;1.5;0
05-01-2018;YTD;1;3;2.3333333333333335;1
05-01-2018;YTD;2;8;1.5;0
06-01-2018;MTD;1;4;2.5;2
06-01-2018;MTD;2;8;1.5;0
06-01-2018;QTD;1;4;2.5;2
06-01-2018;QTD;2;8;1.5;0
06-01-2018;YTD;1;4;2.5;2
06-01-2018;YTD;2;8;1.5;0
07-01-2018;MTD;1;4;2.5;2
07-01-2018;MTD;2;8;1.5;0
07-01-2018;QTD;1;4;2.5;2
07-01-2018;QTD;2;8;1.5;0
07-01-2018;YTD;1;4;2.5;2
07-01-2018;YTD;2;8;1.5;0
08-01-2018;MTD;1;4;2.5;2
08-01-2018;MTD;2;9;1.6666666666666667;0
08-01-2018;QTD;1;4;2.5;2
08-01-2018;QTD;2;9;1.6666666666666667;0
08-01-2018;YTD;1;4;2.5;2
08-01-2018;YTD;2;9;1.6666666666666667;0
09-01-2018;MTD;1;5;2.6;3
09-01-2018;MTD;2;10;1.8;1
09-01-2018;QTD;1;5;2.6;3
09-01-2018;QTD;2;10;1.8;1
09-01-2018;YTD;1;5;2.6;3
09-01-2018;YTD;2;10;1.8;1
10-01-2018;MTD;1;5;2.6;3
10-01-2018;MTD;2;10;1.8;1
10-01-2018;QTD;1;5;2.6;3
10-01-2018;QTD;2;10;1.8;1
10-01-2018;YTD;1;5;2.6;3
10-01-2018;YTD;2;10;1.8;1
11-01-2018;MTD;1;5;2.6;3
11-01-2018;MTD;2;10;1.8;1
11-01-2018;QTD;1;5;2.6;3
11-01-2018;QTD;2;10;1.8;1
11-01-2018;YTD;1;5;2.6;3
11-01-2018;YTD;2;10;1.8;1
12-01-2018;MTD;1;7;2.5714285714285716;3
12-01-2018;MTD;2;10;1.8;1
12-01-2018;QTD;1;7;2.5714285714285716;3
12-01-2018;QTD;2;10;1.8;1
12-01-2018;YTD;1;7;2.5714285714285716;3
12-01-2018;YTD;2;10;1.8;1
13-01-2018;MTD;1;7;2.5714285714285716;3
13-01-2018;MTD;2;10;1.8;1
13-01-2018;QTD;1;7;2.5714285714285716;3
13-01-2018;QTD;2;10;1.8;1
13-01-2018;YTD;1;7;2.5714285714285716;3
13-01-2018;YTD;2;10;1.8;1
14-01-2018;MTD;1;10;2.4;4
14-01-2018;MTD;2;10;1.8;1
14-01-2018;QTD;1;10;2.4;4
14-01-2018;QTD;2;10;1.8;1
14-01-2018;YTD;1;10;2.4;4
14-01-2018;YTD;2;10;1.8;1
15-01-2018;MTD;1;10;2.4;4
15-01-2018;MTD;2;11;1.9090909090909092;2
15-01-2018;QTD;1;10;2.4;4
15-01-2018;QTD;2;11;1.9090909090909092;2
15-01-2018;YTD;1;10;2.4;4
15-01-2018;YTD;2;11;1.9090909090909092;2
16-01-2018;MTD;1;12;2.3333333333333335;4
16-01-2018;MTD;2;11;1.9090909090909092;2
16-01-2018;QTD;1;12;2.3333333333333335;4
16-01-2018;QTD;2;11;1.9090909090909092;2
16-01-2018;YTD;1;12;2.3333333333333335;4
16-01-2018;YTD;2;11;1.9090909090909092;2
17-01-2018;MTD;1;12;2.3333333333333335;4
17-01-2018;MTD;2;11;1.9090909090909092;2
17-01-2018;QTD;1;12;2.3333333333333335;4
17-01-2018;QTD;2;11;1.9090909090909092;2
17-01-2018;YTD;1;12;2.3333333333333335;4
17-01-2018;YTD;2;11;1.9090909090909092;2
18-01-2018;MTD;1;12;2.3333333333333335;4
18-01-2018;MTD;2;14;1.8571428571428572;2
18-01-2018;QTD;1;12;2.3333333333333335;4
18-01-2018;QTD;2;14;1.8571428571428572;2
18-01-2018;YTD;1;12;2.3333333333333335;4
18-01-2018;YTD;2;14;1.8571428571428572;2
19-01-2018;MTD;1;12;2.3333333333333335;4
19-01-2018;MTD;2;16;1.8125;3
19-01-2018;QTD;1;12;2.3333333333333335;4
19-01-2018;QTD;2;16;1.8125;3
19-01-2018;YTD;1;12;2.3333333333333335;4
19-01-2018;YTD;2;16;1.8125;3
20-01-2018;MTD;1;12;2.3333333333333335;4
20-01-2018;MTD;2;18;1.7222222222222223;3
20-01-2018;MTD;3;1;2.0;0
20-01-2018;QTD;1;12;2.3333333333333335;4
20-01-2018;QTD;2;18;1.7222222222222223;3
20-01-2018;QTD;3;1;2.0;0
20-01-2018;YTD;1;12;2.3333333333333335;4
20-01-2018;YTD;2;18;1.7222222222222223;3
