date_ref;period;order_status;nb_orders;nb_items;quantity;gross_sales;net_sales
01-01-2018;MTD;Completed;2;7;11;13197.91;11929.019
01-01-2018;QTD;Completed;2;7;11;13197.91;11929.019
01-01-2018;YTD;Completed;2;7;11;13197.91;11929.019
02-01-2018;MTD;Completed;3;9;13;14797.89;13448.999
02-01-2018;QTD;Completed;3;9;13;14797.89;13448.999
02-01-2018;YTD;Completed;3;9;13;14797.89;13448.999
03-01-2018;MTD;Completed;5;13;19;20424.86;18699.041
03-01-2018;QTD;Completed;5;13;19;20424.86;18699.041
03-01-2018;YTD;Completed;5;13;19;20424.86;18699.041
04-01-2018;MTD;Completed;8;23;34;34431.74;31679.1
04-01-2018;QTD;Completed;8;23;34;34431.74;31679.1
04-01-2018;YTD;Completed;8;23;34;34431.74;31679.1
05-01-2018;MTD;Completed;11;28;42;46241.66;42278.03
05-01-2018;QTD;Completed;11;28;42;46241.66;42278.03
05-01-2018;YTD;Completed;11;28;42;46241.66;42278.03
06-01-2018;MTD;Completed;12;30;45;53722.63;49094.953
06-01-2018;QTD;Completed;12;30;45;53722.63;49094.953
06-01-2018;YTD;Completed;12;30;45;53722.63;49094.953
07-01-2018;MTD;Completed;12;30;45;53722.63;49094.953
07-01-2018;QTD;Completed;12;30;45;53722.63;49094.953
07-01-2018;YTD;Completed;12;30;45;53722.63;49094.953
08-01-2018;MTD;Completed;13;34;52;57250.58;52373.008
08-01-2018;QTD;Completed;13;34;52;57250.58;52373.008
08-01-2018;YTD;Completed;13;34;52;57250.58;52373.008
09-01-2018;MTD;Completed;15;39;60;62118.52;56840.152
09-01-2018;QTD;Completed;15;39;60;62118.52;56840.152
09-01-2018;YTD;Completed;15;39;60;62118.52;56840.152
10-01-2018;MTD;Completed;15;39;60;62118.52;56840.152
10-01-2018;QTD;Completed;15;39;60;62118.52;56840.152
10-01-2018;YTD;Completed;15;39;60;62118.52;56840.152
11-01-2018;MTD;Completed;15;39;60;62118.52;56840.152
11-01-2018;QTD;Completed;15;39;60;62118.52;56840.152
11-01-2018;YTD;Completed;15;39;60;62118.52;56840.152
12-01-2018;MTD;Completed;17;47;70;69619.42;63382.766
12-01-2018;QTD;Completed;17;47;70;69619.42;63382.766
12-01-2018;YTD;Completed;17;47;70;69619.42;63382.766
13-01-2018;MTD;Completed;17;47;70;69619.42;63382.766
13-01-2018;QTD;Completed;17;47;70;69619.42;63382.766
13-01-2018;YTD;Completed;17;47;70;69619.42;63382.766
14-01-2018;MTD;Completed;20;56;84;96036.31;86700.875
14-01-2018;QTD;Completed;20;56;84;96036.31;86700.875
14-01-2018;YTD;Completed;20;56;84;96036.31;86700.875
15-01-2018;MTD;Completed;21;59;87;98284.3;88784.04
15-01-2018;QTD;Completed;21;59;87;98284.3;88784.04
15-01-2018;YTD;Completed;21;59;87;98284.3;88784.04
16-01-2018;MTD;Completed;23;64;95;106284.22;96154.47
16-01-2018;QTD;Completed;23;64;95;106284.22;96154.47
16-01-2018;YTD;Completed;23;64;95;106284.22;96154.47
17-01-2018;MTD;Completed;23;64;95;106284.22;96154.47
17-01-2018;QTD;Completed;23;64;95;106284.22;96154.47
17-01-2018;YTD;Completed;23;64;95;106284.22;96154.47
18-01-2018;MTD;Completed;26;75;111;119530.1;107765.1
18-01-2018;QTD;Completed;26;75;111;119530.1;107765.1
18-01-2018;YTD;Completed;26;75;111;119530.1;107765.1
19-01-2018;MTD;Completed;28;83;122;134631.0;120558.47
19-01-2018;QTD;Completed;28;83;122;134631.0;120558.47
19-01-2018;YTD;Completed;28;83;122;134631.0;120558.47
20-01-2018;MTD;Completed;31;95;140;160820.84;143595.3
20-01-2018;QTD;Completed;31;95;140;160820.84;143595.3
20-01-2018;YTD;Completed;31;95;140;160820.84;143595.3
21-01-2018;MTD;Completed;33;100;149;171120.75;153024.2
21-01-2018;QTD;Completed;33;100;149;171120.75;153024.2
21-01-2018;YTD;Completed;33;100;149;171120.75;153024.2
22-01-2018;MTD;Completed;35;108;162;182456.67;163223.39
22-01-2018;QTD;Completed;35;108;162;182456.67;163223.39
22-01-2018;YTD;Completed;35;108;162;182456.67;163223.39
23-01-2018;MTD;Completed;36;111;166;188777.62;168868.3
23-01-2018;QTD;Completed;36;111;166;188777.62;168868.3
23-01-2018;YTD;Completed;36;111;166;188777.62;168868.3
24-01-2018;MTD;Completed;36;111;166;188777.62;168868.3
24-01-2018;QTD;Completed;36;111;166;188777.62;168868.3
24-01-2018;YTD;Completed;36;111;166;188777.62;168868.3
25-01-2018;MTD;Completed;39;121;182;206695.48;185355.88
25-01-2018;QTD;Completed;39;121;182;206695.48;185355.88
25-01-2018;YTD;Completed;39;121;182;206695.48;185355.88
26-01-2018;MTD;Completed;39;121;182;206695.48;185355.88
26-01-2018;QTD;Completed;39;121;182;206695.48;185355.88
26-01-2018;YTD;Completed;39;121;182;206695.48;185355.88
27-01-2018;MTD;Completed;43;129;195;216232.4;193403.84
27-01-2018;QTD;Completed;43;129;195;216232.4;193403.84
27-01-2018;YTD;Completed;43;129;195;216232.4;193403.84
28-01-2018;MTD;Completed;45;134;202;227442.33;202977.89
28-01-2018;QTD;Completed;45;134;202;227442.33;202977.89
28-01-2018;YTD;Completed;45;134;202;227442.33;202977.89
29-01-2018;MTD;Completed;47;139;208;230141.28;205433.44
29-01-2018;QTD;Completed;47;139;208;230141.28;205433.44
29-01-2018;YTD;Completed;47;139;208;230141.28;205433.44
30-01-2018;MTD;Completed;48;143;214;237904.22;212146.28
30-01-2018;QTD;Completed;48;143;214;237904.22;212146.28
30-01-2018;YTD;Completed;48;143;214;237904.22;212146.28
31-01-2018;MTD;Completed;50;147;221;241184.16;215146.42
31-01-2018;QTD;Completed;50;147;221;241184.16;215146.42
31-01-2018;YTD;Completed;50;147;221;241184.16;215146.42
01-02-2018;MTD;Completed;1;3;4;2069.96;1786.465
01-02-2018;QTD;Completed;51;150;225;243254.11;216932.89
01-02-2018;YTD;Completed;51;150;225;243254.11;216932.89
02-02-2018;MTD;Completed;1;3;4;2069.96;1786.465
02-02-2018;QTD;Completed;51;150;225;243254.11;216932.89
02-02-2018;YTD;Completed;51;150;225;243254.11;216932.89
03-02-2018;MTD;Completed;3;8;13;8309.87;7033.3867
03-02-2018;QTD;Completed;53;155;234;249494.02;222179.81
03-02-2018;YTD;Completed;53;155;234;249494.02;222179.81
04-02-2018;MTD;Completed;7;17;28;15807.74;13323.275
04-02-2018;QTD;Completed;57;164;249;256991.89;228469.7
04-02-2018;YTD;Completed;57;164;249;256991.89;228469.7
05-02-2018;MTD;Completed;9;23;36;18974.69;16227.499
05-02-2018;QTD;Completed;59;170;257;260158.84;231373.92
05-02-2018;YTD;Completed;59;170;257;260158.84;231373.92
06-02-2018;MTD;Completed;11;30;46;27416.59;23629.91
06-02-2018;QTD;Completed;61;177;267;268600.75;238776.33
06-02-2018;YTD;Completed;61;177;267;268600.75;238776.33
07-02-2018;MTD;Completed;14;40;64;37964.43;33061.97
07-02-2018;QTD;Completed;64;187;285;279148.6;248208.39
07-02-2018;YTD;Completed;64;187;285;279148.6;248208.39
08-02-2018;MTD;Completed;15;41;65;38514.42;33556.96
08-02-2018;QTD;Completed;65;188;286;279698.56;248703.39
08-02-2018;YTD;Completed;65;188;286;279698.56;248703.39
09-02-2018;MTD;Completed;17;49;76;45175.32;39370.375
09-02-2018;QTD;Completed;67;196;297;286359.47;254516.8
09-02-2018;YTD;Completed;67;196;297;286359.47;254516.8
10-02-2018;MTD;Completed;19;54;83;49554.27;43272.98
10-02-2018;QTD;Completed;69;201;304;290738.4;258419.4
10-02-2018;YTD;Completed;69;201;304;290738.4;258419.4
11-02-2018;MTD;Rejected;1;3;4;3048.97;2829.1714
11-02-2018;MTD;Completed;20;57;87;51753.24;45257.05
11-02-2018;QTD;Rejected;1;3;4;3048.97;2829.1714
11-02-2018;QTD;Completed;70;204;308;292937.38;260403.47
11-02-2018;YTD;Rejected;1;3;4;3048.97;2829.1714
11-02-2018;YTD;Completed;70;204;308;292937.38;260403.47
12-02-2018;MTD;Rejected;1;3;4;3048.97;2829.1714
12-02-2018;MTD;Completed;22;65;100;58271.13;51259.492
12-02-2018;QTD;Rejected;1;3;4;3048.97;2829.1714
12-02-2018;QTD;Completed;72;212;321;299455.28;266405.9
12-02-2018;YTD;Rejected;1;3;4;3048.97;2829.1714
12-02-2018;YTD;Completed;72;212;321;299455.28;266405.9
13-02-2018;MTD;Rejected;1;3;4;3048.97;2829.1714
13-02-2018;MTD;Completed;23;67;103;59941.1;52836.562
13-02-2018;QTD;Rejected;1;3;4;3048.97;2829.1714
13-02-2018;QTD;Completed;73;214;324;301125.25;267983.0
13-02-2018;YTD;Rejected;1;3;4;3048.97;2829.1714
13-02-2018;YTD;Completed;73;214;324;301125.25;267983.0
14-02-2018;MTD;Rejected;1;3;4;3048.97;2829.1714
14-02-2018;MTD;Completed;24;70;107;69471.06;61600.527
14-02-2018;QTD;Rejected;1;3;4;3048.97;2829.1714
14-02-2018;QTD;Completed;74;217;328;310655.22;276746.94
14-02-2018;YTD;Rejected;1;3;4;3048.97;2829.1714
14-02-2018;YTD;Completed;74;217;328;310655.22;276746.94
15-02-2018;MTD;Rejected;1;3;4;3048.97;2829.1714
15-02-2018;MTD;Completed;24;70;107;69471.06;61600.527
15-02-2018;QTD;Rejected;1;3;4;3048.97;2829.1714
15-02-2018;QTD;Completed;74;217;328;310655.22;276746.94
15-02-2018;YTD;Rejected;1;3;4;3048.97;2829.1714
15-02-2018;YTD;Completed;74;217;328;310655.22;276746.94
16-02-2018;MTD;Rejected;2;6;8;8281.93;7605.965
16-02-2018;MTD;Completed;26;78;118;74586.99;66080.836
16-02-2018;QTD;Rejected;2;6;8;8281.93;7605.965
16-02-2018;QTD;Completed;76;225;339;315771.12;281227.25
16-02-2018;YTD;Rejected;2;6;8;8281.93;7605.965
16-02-2018;YTD;Completed;76;225;339;315771.12;281227.25
17-02-2018;MTD;Rejected;2;6;8;8281.93;7605.965
17-02-2018;MTD;Completed;29;88;134;89191.88;79025.44
17-02-2018;QTD;Rejected;2;6;8;8281.93;7605.965
17-02-2018;QTD;Completed;79;235;355;330376.03;294171.88
17-02-2018;YTD;Rejected;2;6;8;8281.93;7605.965
17-02-2018;YTD;Completed;79;235;355;330376.03;294171.88
18-02-2018;MTD;Rejected;2;6;8;8281.93;7605.965
18-02-2018;MTD;Completed;30;90;138;93553.84;82615.0
18-02-2018;QTD;Rejected;2;6;8;8281.93;7605.965
18-02-2018;QTD;Completed;80;237;359;334738.0;297761.44
18-02-2018;YTD;Rejected;2;6;8;8281.93;7605.965
18-02-2018;YTD;Completed;80;237;359;334738.0;297761.44
19-02-2018;MTD;Rejected;2;6;8;8281.93;7605.965
19-02-2018;MTD;Completed;31;92;141;96153.81;84994.98
19-02-2018;QTD;Rejected;2;6;8;8281.93;7605.965
19-02-2018;QTD;Completed;81;239;362;337337.97;300141.4
19-02-2018;YTD;Rejected;2;6;8;8281.93;7605.965
19-02-2018;YTD;Completed;81;239;362;337337.97;300141.4
20-02-2018;MTD;Rejected;2;6;8;8281.93;7605.965
20-02-2018;MTD;Completed;33;96;148;104062.75;92466.29
20-02-2018;QTD;Rejected;2;6;8;8281.93;7605.965
20-02-2018;QTD;Completed;83;243;369;345246.9;307612.72
20-02-2018;YTD;Rejected;2;6;8;8281.93;7605.965
20-02-2018;YTD;Completed;83;243;369;345246.9;307612.72
21-02-2018;MTD;Rejected;2;6;8;8281.93;7605.965
21-02-2018;MTD;Completed;37;107;166;124942.58;111214.66
21-02-2018;QTD;Rejected;2;6;8;8281.93;7605.965
21-02-2018;QTD;Completed;87;254;387;366126.72;326361.1
21-02-2018;YTD;Rejected;2;6;8;8281.93;7605.965
21-02-2018;YTD;Completed;87;254;387;366126.72;326361.1
22-02-2018;MTD;Rejected;2;6;8;8281.93;7605.965
22-02-2018;MTD;Completed;37;107;166;124942.58;111214.66
22-02-2018;QTD;Rejected;2;6;8;8281.93;7605.965
22-02-2018;QTD;Completed;87;254;387;366126.72;326361.1
22-02-2018;YTD;Rejected;2;6;8;8281.93;7605.965
22-02-2018;YTD;Completed;87;254;387;366126.72;326361.1
23-02-2018;MTD;Rejected;2;6;8;8281.93;7605.965
23-02-2018;MTD;Completed;38;109;168;126412.56;112551.74
23-02-2018;QTD;Rejected;2;6;8;8281.93;7605.965
23-02-2018;QTD;Completed;88;256;389;367596.72;327698.16
23-02-2018;YTD;Rejected;2;6;8;8281.93;7605.965
23-02-2018;YTD;Completed;88;256;389;367596.72;327698.16
24-02-2018;MTD;Rejected;2;6;8;8281.93;7605.965
24-02-2018;MTD;Completed;38;109;168;126412.56;112551.74
24-02-2018;QTD;Rejected;2;6;8;8281.93;7605.965
24-02-2018;QTD;Completed;88;256;389;367596.72;327698.16
24-02-2018;YTD;Rejected;2;6;8;8281.93;7605.965
24-02-2018;YTD;Completed;88;256;389;367596.72;327698.16
25-02-2018;MTD;Rejected;2;6;8;8281.93;7605.965
25-02-2018;MTD;Completed;40;114;175;131993.48;117647.58
25-02-2018;QTD;Rejected;2;6;8;8281.93;7605.965
25-02-2018;QTD;Completed;90;261;396;373177.62;332794.0
