date_ref;period;staff_id;nb_orders;nb_items;quantity;gross_sales;net_sales
01-01-2018;MTD;1;1;5;8;11397.94;10231.047
01-01-2018;MTD;2;1;2;3;1799.97;1697.9717
01-01-2018;QTD;1;1;5;8;11397.94;10231.047
01-01-2018;QTD;2;1;2;3;1799.97;1697.9717
01-01-2018;YTD;1;1;5;8;11397.94;10231.047
01-01-2018;YTD;2;1;2;3;1799.97;1697.9717
02-01-2018;MTD;1;1;5;8;11397.94;10231.047
02-01-2018;MTD;2;2;4;5;3399.95;3217.9526
02-01-2018;QTD;1;1;5;8;11397.94;10231.047
02-01-2018;QTD;2;2;4;5;3399.95;3217.9526
02-01-2018;YTD;1;1;5;8;11397.94;10231.047
02-01-2018;YTD;2;2;4;5;3399.95;3217.9526
03-01-2018;MTD;1;2;6;10;12897.92;11581.028
03-01-2018;MTD;2;3;7;9;7526.94;7118.013
03-01-2018;QTD;1;2;6;10;12897.92;11581.028
03-01-2018;QTD;2;3;7;9;7526.94;7118.013
03-01-2018;YTD;1;2;6;10;12897.92;11581.028
03-01-2018;YTD;2;3;7;9;7526.94;7118.013
04-01-2018;MTD;1;2;6;10;12897.92;11581.028
04-01-2018;MTD;2;6;17;24;21533.82;20098.072
04-01-2018;QTD;1;2;6;10;12897.92;11581.028
04-01-2018;QTD;2;6;17;24;21533.82;20098.072
04-01-2018;YTD;1;2;6;10;12897.92;11581.028
04-01-2018;YTD;2;6;17;24;21533.82;20098.072
05-01-2018;MTD;1;3;7;12;20897.9;18781.01
05-01-2018;MTD;2;8;21;30;25343.76;23497.02
05-01-2018;QTD;1;3;7;12;20897.9;18781.01
05-01-2018;QTD;2;8;21;30;25343.76;23497.02
05-01-2018;YTD;1;3;7;12;20897.9;18781.01
05-01-2018;YTD;2;8;21;30;25343.76;23497.02
06-01-2018;MTD;1;4;9;15;28378.87;25597.934
06-01-2018;MTD;2;8;21;30;25343.76;23497.02
06-01-2018;QTD;1;4;9;15;28378.87;25597.934
06-01-2018;QTD;2;8;21;30;25343.76;23497.02
06-01-2018;YTD;1;4;9;15;28378.87;25597.934
06-01-2018;YTD;2;8;21;30;25343.76;23497.02
07-01-2018;MTD;1;4;9;15;28378.87;25597.934
07-01-2018;MTD;2;8;21;30;25343.76;23497.02
07-01-2018;QTD;1;4;9;15;28378.87;25597.934
07-01-2018;QTD;2;8;21;30;25343.76;23497.02
07-01-2018;YTD;1;4;9;15;28378.87;25597.934
07-01-2018;YTD;2;8;21;30;25343.76;23497.02
08-01-2018;MTD;1;4;9;15;28378.87;25597.934
08-01-2018;MTD;2;9;25;37;28871.71;26775.074
08-01-2018;QTD;1;4;9;15;28378.87;25597.934
08-01-2018;QTD;2;9;25;37;28871.71;26775.074
08-01-2018;YTD;1;4;9;15;28378.87;25597.934
08-01-2018;YTD;2;9;25;37;28871.71;26775.074
09-01-2018;MTD;1;5;10;16;28848.86;26035.023
09-01-2018;MTD;2;10;29;44;33269.66;30805.129
09-01-2018;QTD;1;5;10;16;28848.86;26035.023
09-01-2018;QTD;2;10;29;44;33269.66;30805.129
09-01-2018;YTD;1;5;10;16;28848.86;26035.023
09-01-2018;YTD;2;10;29;44;33269.66;30805.129
10-01-2018;MTD;1;5;10;16;28848.86;26035.023
10-01-2018;MTD;2;10;29;44;33269.66;30805.129
10-01-2018;QTD;1;5;10;16;28848.86;26035.023
10-01-2018;QTD;2;10;29;44;33269.66;30805.129
10-01-2018;YTD;1;5;10;16;28848.86;26035.023
10-01-2018;YTD;2;10;29;44;33269.66;30805.129
11-01-2018;MTD;1;5;10;16;28848.86;26035.023
11-01-2018;MTD;2;10;29;44;33269.66;30805.129
11-01-2018;QTD;1;5;10;16;28848.86;26035.023
11-01-2018;QTD;2;10;29;44;33269.66;30805.129
11-01-2018;YTD;1;5;10;16;28848.86;26035.023
11-01-2018;YTD;2;10;29;44;33269.66;30805.129
12-01-2018;MTD;1;7;18;26;36349.76;32577.635
12-01-2018;MTD;2;10;29;44;33269.66;30805.129
12-01-2018;QTD;1;7;18;26;36349.76;32577.635
12-01-2018;QTD;2;10;29;44;33269.66;30805.129
12-01-2018;YTD;1;7;18;26;36349.76;32577.635
12-01-2018;YTD;2;10;29;44;33269.66;30805.129
13-01-2018;MTD;1;7;18;26;36349.76;32577.635
13-01-2018;MTD;2;10;29;44;33269.66;30805.129
13-01-2018;QTD;1;7;18;26;36349.76;32577.635
13-01-2018;QTD;2;10;29;44;33269.66;30805.129
13-01-2018;YTD;1;7;18;26;36349.76;32577.635
13-01-2018;YTD;2;10;29;44;33269.66;30805.129
14-01-2018;MTD;1;10;27;40;62766.65;55895.75
14-01-2018;MTD;2;10;29;44;33269.66;30805.129
14-01-2018;QTD;1;10;27;40;62766.65;55895.75
14-01-2018;QTD;2;10;29;44;33269.66;30805.129
14-01-2018;YTD;1;10;27;40;62766.65;55895.75
