date_ref;period;staff_id;product_id;nb_orders;nb_items;quantity;gross_sales;net_sales
01-01-2018;MTD;1;2;1;5;8;11397.94;10231.047
01-01-2018;MTD;2;6;1;2;3;1799.97;1697.9717
01-01-2018;QTD;1;2;1;5;8;11397.94;10231.047
01-01-2018;QTD;2;6;1;2;3;1799.97;1697.9717
01-01-2018;YTD;1;2;1;5;8;11397.94;10231.047
01-01-2018;YTD;2;6;1;2;3;1799.97;1697.9717
02-01-2018;MTD;1;2;1;5;8;11397.94;10231.047
02-01-2018;MTD;2;6;1;2;3;1799.97;1697.9717
02-01-2018;MTD;2;7;1;2;2;1599.98;1519.981
02-01-2018;QTD;1;2;1;5;8;11397.94;10231.047
02-01-2018;QTD;2;6;1;2;3;1799.97;1697.9717
02-01-2018;QTD;2;7;1;2;2;1599.98;1519.981
02-01-2018;YTD;1;2;1;5;8;11397.94;10231.047
02-01-2018;YTD;2;6;1;2;3;1799.97;1697.9717
02-01-2018;YTD;2;7;1;2;2;1599.98;1519.981
03-01-2018;MTD;1;2;1;5;8;11397.94;10231.047
03-01-2018;MTD;1;3;1;1;2;1499.98;1349.982
03-01-2018;MTD;2;6;2;5;7;5926.96;5598.032
03-01-2018;MTD;2;7;1;2;2;1599.98;1519.981
03-01-2018;QTD;1;2;1;5;8;11397.94;10231.047
03-01-2018;QTD;1;3;1;1;2;1499.98;1349.982
03-01-2018;QTD;2;6;2;5;7;5926.96;5598.032
03-01-2018;QTD;2;7;1;2;2;1599.98;1519.981
03-01-2018;YTD;1;2;1;5;8;11397.94;10231.047
03-01-2018;YTD;1;3;1;1;2;1499.98;1349.982
03-01-2018;YTD;2;6;2;5;7;5926.96;5598.032
03-01-2018;YTD;2;7;1;2;2;1599.98;1519.981
04-01-2018;MTD;1;2;1;5;8;11397.94;10231.047
04-01-2018;MTD;1;3;1;1;2;1499.98;1349.982
04-01-2018;MTD;2;6;4;13;19;18463.87;17205.62
04-01-2018;MTD;2;7;2;4;5;3069.95;2892.453
04-01-2018;QTD;1;2;1;5;8;11397.94;10231.047
04-01-2018;QTD;1;3;1;1;2;1499.98;1349.982
04-01-2018;QTD;2;6;4;13;19;18463.87;17205.62
04-01-2018;QTD;2;7;2;4;5;3069.95;2892.453
04-01-2018;YTD;1;2;1;5;8;11397.94;10231.047
04-01-2018;YTD;1;3;1;1;2;1499.98;1349.982
04-01-2018;YTD;2;6;4;13;19;18463.87;17205.62
04-01-2018;YTD;2;7;2;4;5;3069.95;2892.453
05-01-2018;MTD;1;2;2;6;10;19397.92;17431.03
05-01-2018;MTD;1;3;1;1;2;1499.98;1349.982
05-01-2018;MTD;2;6;5;14;20;18733.86;17448.61
05-01-2018;MTD;2;7;3;7;10;6609.9;6048.409
05-01-2018;QTD;1;2;2;6;10;19397.92;17431.03
05-01-2018;QTD;1;3;1;1;2;1499.98;1349.982
05-01-2018;QTD;2;6;5;14;20;18733.86;17448.61
05-01-2018;QTD;2;7;3;7;10;6609.9;6048.409
05-01-2018;YTD;1;2;2;6;10;19397.92;17431.03
05-01-2018;YTD;1;3;1;1;2;1499.98;1349.982
05-01-2018;YTD;2;6;5;14;20;18733.86;17448.61
05-01-2018;YTD;2;7;3;7;10;6609.9;6048.409
06-01-2018;MTD;1;2;3;8;13;26878.89;24247.951
06-01-2018;MTD;1;3;1;1;2;1499.98;1349.982
06-01-2018;MTD;2;6;5;14;20;18733.86;17448.61
06-01-2018;MTD;2;7;3;7;10;6609.9;6048.409
06-01-2018;QTD;1;2;3;8;13;26878.89;24247.951
06-01-2018;QTD;1;3;1;1;2;1499.98;1349.982
06-01-2018;QTD;2;6;5;14;20;18733.86;17448.61
06-01-2018;QTD;2;7;3;7;10;6609.9;6048.409
06-01-2018;YTD;1;2;3;8;13;26878.89;24247.951
06-01-2018;YTD;1;3;1;1;2;1499.98;1349.982
06-01-2018;YTD;2;6;5;14;20;18733.86;17448.61
06-01-2018;YTD;2;7;3;7;10;6609.9;6048.409
07-01-2018;MTD;1;2;3;8;13;26878.89;24247.951
07-01-2018;MTD;1;3;1;1;2;1499.98;1349.982
07-01-2018;MTD;2;6;5;14;20;18733.86;17448.61
07-01-2018;MTD;2;7;3;7;10;6609.9;6048.409
07-01-2018;QTD;1;2;3;8;13;26878.89;24247.951
07-01-2018;QTD;1;3;1;1;2;1499.98;1349.982
07-01-2018;QTD;2;6;5;14;20;18733.86;17448.61
07-01-2018;QTD;2;7;3;7;10;6609.9;6048.409
07-01-2018;YTD;1;2;3;8;13;26878.89;24247.951
07-01-2018;YTD;1;3;1;1;2;1499.98;1349.982
07-01-2018;YTD;2;6;5;14;20;18733.86;17448.61
07-01-2018;YTD;2;7;3;7;10;6609.9;6048.409
08-01-2018;MTD;1;2;3;8;13;26878.89;24247.951
08-01-2018;MTD;1;3;1;1;2;1499.98;1349.982
08-01-2018;MTD;2;6;6;18;27;22261.81;20726.664
08-01-2018;MTD;2;7;3;7;10;6609.9;6048.409
08-01-2018;QTD;1;2;3;8;13;26878.89;24247.951
08-01-2018;QTD;1;3;1;1;2;1499.98;1349.982
08-01-2018;QTD;2;6;6;18;27;22261.81;20726.664
08-01-2018;QTD;2;7;3;7;10;6609.9;6048.409
08-01-2018;YTD;1;2;3;8;13;26878.89;24247.951
08-01-2018;YTD;1;3;1;1;2;1499.98;1349.982
08-01-2018;YTD;2;6;6;18;27;22261.81;20726.664
